ticker,hypothesis,action,qty,price,price_favorable,session
PII,Broad-watch baseline,exit,100.0000,71.8400,71.8400,2026-07-23
RSI,Broad-watch baseline,partial,50.0000,32.6300,32.6300,2026-07-09
RSI,Broad-watch baseline,exit,50.0000,32.3000,32.3000,2026-07-17
RXO,Broad-watch baseline,exit,100.0000,28.7200,28.7200,2026-07-22
SVIX,Broad-watch baseline,exit,100.0000,23.3100,23.3100,2026-07-08
TNA,Broad-watch baseline,exit,100.0000,74.0000,74.0000,2026-07-02
UBS,Broad-watch baseline,exit,100.0000,51.2500,51.2500,2026-07-08
UDOW,Broad-watch baseline,partial,50.0000,72.5000,72.5000,2026-07-07
UDOW,Broad-watch baseline,exit,50.0000,69.0750,69.0750,2026-07-08
URTY,Broad-watch baseline,exit,100.0000,86.1700,86.1700,2026-07-02
VOYA,Broad-watch baseline,partial,50.0000,96.4000,96.4000,2026-07-07
VOYA,Broad-watch baseline,exit,50.0000,98.3000,98.3000,2026-07-22
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
ARMK,Broad-watch baseline,partial,50.0000,58.0000,58.0000,2026-07-14
ARMK,Broad-watch baseline,exit,50.0000,57.1300,57.1300,2026-07-15
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
AVR,Broad-watch baseline,exit,100.0000,10.0700,10.0700,2026-07-07
AXGN,Broad-watch baseline,exit,100.0000,43.9000,43.9000,2026-07-08
BEAM,Broad-watch baseline,exit,100.0000,33.7300,33.7300,2026-07-10
DNLI,Broad-watch baseline,exit,100.0000,25.4300,25.4300,2026-07-06
IMVT,Broad-watch baseline,partial,50.0000,39.7100,39.7100,2026-07-10
IMVT,Broad-watch baseline,exit,50.0000,39.2400,39.2800,2026-07-13
RLJ,Broad-watch baseline,exit,100.0000,12.0300,12.0300,2026-07-23
SVIX,Broad-watch baseline,exit,100.0000,23.3100,23.3100,2026-07-08
VSXY,Broad-watch baseline,exit,100.0000,85.5800,85.5800,2026-07-23
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
ARMK,Broad-watch baseline,partial,50.0000,58.0000,58.0000,2026-07-14
ARMK,Broad-watch baseline,exit,50.0000,57.1300,57.1300,2026-07-15
AXGN,Broad-watch baseline,exit,100.0000,43.9000,43.9000,2026-07-08
BEN,Broad-watch baseline,exit,100.0000,33.9300,34.1725,2026-07-08
CALY,Broad-watch baseline,exit,100.0000,18.9100,18.9100,2026-07-20
DHC,Broad-watch baseline,exit,100.0000,9.1950,9.1950,2026-07-23
FTRE,Broad-watch baseline,partial,50.0000,19.2000,19.2000,2026-07-27
FTRE,Broad-watch baseline,exit,50.0000,18.3400,18.3400,2026-07-31
IMVT,Broad-watch baseline,partial,50.0000,39.7100,39.7100,2026-07-10
IMVT,Broad-watch baseline,exit,50.0000,39.2400,39.2800,2026-07-13
MRNA,Broad-watch baseline,exit,100.0000,77.5000,77.5000,2026-07-07
MRX,Broad-watch baseline,exit,100.0000,67.3500,67.3500,2026-07-10
RLJ,Broad-watch baseline,exit,100.0000,12.0300,12.0300,2026-07-23
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
UBS,Broad-watch baseline,exit,100.0000,51.5550,51.5550,2026-07-07
APLE,Broad-watch baseline,exit,100.0000,16.8500,16.8500,2026-07-21
ARMK,Broad-watch baseline,partial,50.0000,58.0000,58.0000,2026-07-14
ARMK,Broad-watch baseline,exit,50.0000,57.1300,57.1300,2026-07-15
ARWR,Broad-watch baseline,exit,100.0000,84.3600,84.3600,2026-07-28
BEN,Broad-watch baseline,exit,100.0000,33.9300,34.3500,2026-07-08
BRKR,Broad-watch baseline,exit,100.0000,60.7500,60.7500,2026-07-24
CALY,Broad-watch baseline,exit,100.0000,18.9100,18.9100,2026-07-20
CNC,Broad-watch baseline,exit,100.0000,66.9613,68.0950,2026-07-15
DHC,Broad-watch baseline,exit,100.0000,9.1950,9.1950,2026-07-23
FTRE,Broad-watch baseline,partial,50.0000,19.2000,19.2000,2026-07-27
FTRE,Broad-watch baseline,exit,50.0000,18.3400,18.3400,2026-07-31
