pattern_id,ticker,ruleset_name,anchor_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
DK-2026-03-09,DK,A_minervini_trail_ma,2026-05-15,2026-03-09,45.4100,42.3900,41.9661,0.7406,true,2026-05-20,45.2800,2026-05-21,42.1000,close_below_50d,-0.9596,-35.98,0.2233,1.1829,1,closed,5,45.5400,100.3,53
DK-2026-03-09,DK,B_fixed_R_multiple,2026-05-15,2026-03-09,45.4100,42.3900,41.9661,0.7406,true,2026-05-20,45.2800,2026-05-22,43.6800,open_at_data_tail,-0.4828,-18.11,0.2233,0.7061,2,open,5,45.5400,100.3,53
DK-2026-03-09,DK,C_close_below_50d,2026-05-15,2026-03-09,45.4100,42.3900,41.9661,0.7406,true,2026-05-20,45.2800,2026-05-21,42.1000,close_below_50d,-0.9596,-35.98,0.2233,1.1829,1,closed,5,45.5400,100.3,53
DNTH-2025-05-30,DNTH,A_minervini_trail_ma,2026-04-27,2025-05-30,19.2900,16.8600,16.6914,0.7667,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.0700,2.62,0.0728,0.0029,1,open,3,87.8000,455.2,311
DNTH-2025-05-30,DNTH,B_fixed_R_multiple,2026-04-27,2025-05-30,19.2900,16.8600,16.6914,0.7667,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.0700,2.62,0.0728,0.0029,1,open,3,87.8000,455.2,311
DNTH-2025-05-30,DNTH,C_close_below_50d,2026-04-27,2025-05-30,19.2900,16.8600,16.6914,0.7667,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.0700,2.62,0.0728,0.0029,1,open,3,87.8000,455.2,311
DNTH-2025-07-15,DNTH,A_minervini_trail_ma,2026-04-27,2025-07-15,22.2800,18.7600,18.5724,0.7667,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.0720,2.70,0.0749,0.0029,1,open,3,87.8000,394.1,262
DNTH-2025-07-15,DNTH,B_fixed_R_multiple,2026-04-27,2025-07-15,22.2800,18.7600,18.5724,0.7667,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.0720,2.70,0.0749,0.0029,1,open,3,87.8000,394.1,262
DNTH-2025-07-15,DNTH,C_close_below_50d,2026-04-27,2025-07-15,22.2800,18.7600,18.5724,0.7667,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.0720,2.70,0.0749,0.0029,1,open,3,87.8000,394.1,262
DNTH-2026-01-06,DNTH,A_minervini_trail_ma,2026-04-27,2026-01-06,53.3900,46.5800,46.1142,0.7685,true,2026-04-29,83.1500,2026-04-30,87.8000,open_at_data_tail,0.1256,4.71,0.1307,0.0051,1,open,3,87.8000,164.5,81
